PC1,PC2,PC3,PC1 PC2,PC1 PC3,PC2 PC3,PC1,PC2,PC3
1.2063549534953573,1.3732221149877235,2.709360473626337,1.6725644602090974,3.1104332680854485,2.7835984741255664,1.6787997028778474,1.4676419266194278,2.5096198532563694
1.0658801815651777,2.3868889469207346,1.4710992797329356,2.5686655682332478,1.4922079722045838,2.627079445102033,1.4833108007973153,2.5510063189716994,1.362646275557237
1.2879295728734808,0.38012112627069583,2.9159049424728796,0.4942891601512075,3.5739170076259548,0.8292669928735706,1.7923213876668629,0.40625744081732784,2.700937363289943
1.3095113464860224,-0.268494584,2.203150449245961,-0.354986436,2.7455692805188776,-0.442566661,1.8223552305448094,-0.286955696,2.040728858695566
1.330742326616254,-0.990859738,1.4095125996184146,-1.331291369,1.7850152007380693,-1.044913054,1.8519008987009067,-1.058989132,1.3055999147587856
1.3284903232700345,-0.914237334,1.4936950105144076,-1.226264939,1.8884231313306068,-1.021691765,1.848766943360848,-0.977098335,1.383576194303752
1.3306148521839303,-1.066371221,1.3275571763364815,-1.432609235,1.6810653136983995,-1.059157781,1.8517235014609903,-1.139692622,1.2296864439037685
1.3369845006831282,-1.283092828,1.0894525713310788,-1.732014062,1.3861610351001061,-1.045840404,1.860587695185156,-1.371315543,1.0091354874363432
1.2849902724562687,-1.188590569,0.016087452724382126,-1.54205223,0.019672796951748978,-0.014306012,1.788230969127289,-1.270315511,0.014901446720890887
1.3302355798470276,-1.053466818,1.3417348016762576,-1.414869499,1.6985339431201099,-1.057515047,1.8511956947116939,-1.12590094,1.2428188603433978
1.3408490443534054,-1.249046911,1.125708565,-1.690929887,1.4364312447550571,-1.05197091,1.865965709961505,-1.334928702,1.0427186016338048
1.3400526905992853,-1.221951685,1.1554771617775077,-1.653266529,1.4735410090281649,-1.056365991,1.8648574802137607,-1.305970466,1.0702925850615634
1.3423625890997366,-1.300543921,1.069130565081985,-1.762632717,1.3657762979371626,-1.040290851,1.868072004185333,-1.389966535,0.9903116687392082
1.3447671415147102,-1.462205358,0.892525138,-1.985282998,1.1422115087612896,-0.976400151,1.8714182513807502,-1.562743466,0.8267260220894053
1.3560482946397487,-1.76618784,0.5575435423074381,-2.418126469,0.7195035361495881,-0.736740748,1.8871174421202255,-1.887627133,0.516440081
1.3402300143537005,-1.580032936,0.5266557817710984,-2.138023347,0.6717152092384691,-0.622575472,1.8651042492640828,-1.688672617,0.4878294411654891
1.3484154645069366,-1.420802725,0.9368637037574749,-1.934302842,1.2022066451543958,-0.995885033,1.876495366982262,-1.518494078,0.8677958409860949
1.3561521475662477,-1.684036463,0.6476578136488906,-2.305827797,0.8358589773985035,-0.816011183,1.8872619669647948,-1.799827204,0.59991091
1.3394739639611517,-1.634157683,0.46819723288405996,-2.210014892,0.5968182637231371,-0.572429244,1.8640521068820302,-1.746518865,0.43368059817926663
